seed,N_SUB,split,kind,method,tau,metric,value
123,25000,train,metric,sklearn_LP,0.9,pinball,0.05989062003748807
123,25000,train,metric,sklearn_LP,0.9,rmse,0.5796828808636543
123,25000,test,metric,sklearn_LP,0.9,pinball,0.06779913933581204
123,25000,test,metric,sklearn_LP,0.9,rmse,0.592366507707014
123,25000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.76768
123,25000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8567488553388741
123,25000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.3191068152256533
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.26336496221420025
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.38560492032952637
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8567488553388741
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.39775478426245714
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.546194909452971
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8567488553388741
123,50000,train,timing,sklearn_LP,0.1,fit_seconds,256.65505874300015
123,50000,train,timing,sklearn_LP,0.1,n_iter,64022.0
123,50000,train,timing,sklearn_LP,0.5,fit_seconds,302.45957164499987
123,50000,train,timing,sklearn_LP,0.5,n_iter,81082.0
123,50000,train,timing,sklearn_LP,0.9,fit_seconds,255.5255266009999
123,50000,train,timing,sklearn_LP,0.9,n_iter,64187.0
123,50000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.0066540000000000045
123,50000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.0029739999999999736
123,50000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.0034402237194906277
123,50000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.01966
123,50000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,0.00029
123,50000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,0.00023584882193099815
123,50000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,0.0004769581714522189
123,50000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.01946
123,50000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.006487999999999991
123,50000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0029059999999999785
123,50000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.0033316460582253748
123,50000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.01952
123,50000,train,metric,sklearn_LP,0.1,pinball,0.05784569984471631
123,50000,train,metric,sklearn_LP,0.1,rmse,0.5861761561570878
123,50000,test,metric,sklearn_LP,0.1,pinball,0.06158360676365778
123,50000,test,metric,sklearn_LP,0.1,rmse,0.588432428325045
123,50000,train,metric,sklearn_LP,0.5,pinball,0.13497738451719143
123,50000,train,metric,sklearn_LP,0.5,rmse,0.36854532836504494
123,50000,test,metric,sklearn_LP,0.5,pinball,0.13861610448721068
123,50000,test,metric,sklearn_LP,0.5,rmse,0.3743884134116715
123,50000,train,metric,sklearn_LP,0.9,pinball,0.06196756144727166
123,50000,train,metric,sklearn_LP,0.9,rmse,0.5862982292674231
123,50000,test,metric,sklearn_LP,0.9,pinball,0.06534612977967542
123,50000,test,metric,sklearn_LP,0.9,rmse,0.5914140487042494
123,50000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.78762
123,50000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8682821934367339
123,50000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.269297365433332
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.2952207872574776
