seed,N_SUB,split,kind,method,tau,metric,value,method_label
123,25000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.0118239999999999,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0054599999999999,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.0062436279537882,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.03736,sklearn_LP
123,25000,train,metric,sklearn_LP,0.1,pinball,0.0560539510023594,sklearn_LP
123,25000,train,metric,sklearn_LP,0.1,rmse,0.5847524521298156,sklearn_LP
123,25000,test,metric,sklearn_LP,0.1,pinball,0.0641115421867532,sklearn_LP
123,25000,test,metric,sklearn_LP,0.1,rmse,0.5993612198336981,sklearn_LP
123,25000,train,metric,sklearn_LP,0.5,pinball,0.1322394120577929,sklearn_LP
123,25000,train,metric,sklearn_LP,0.5,rmse,0.3643346430308279,sklearn_LP
123,25000,test,metric,sklearn_LP,0.5,pinball,0.1413288456795001,sklearn_LP
123,25000,test,metric,sklearn_LP,0.5,rmse,0.3850023087191049,sklearn_LP
123,25000,train,metric,sklearn_LP,0.9,pinball,0.059890620037488,sklearn_LP
123,25000,train,metric,sklearn_LP,0.9,rmse,0.5796828808636543,sklearn_LP
123,25000,test,metric,sklearn_LP,0.9,pinball,0.067799139335812,sklearn_LP
123,25000,test,metric,sklearn_LP,0.9,rmse,0.592366507707014,sklearn_LP
123,25000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.76768,sklearn_LP
123,25000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8567488553388741,sklearn_LP
123,25000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.319106815225653,sklearn_LP
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.2633649622142002,sklearn_LP
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0,sklearn_LP
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.3856049203295263,sklearn_LP
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0,sklearn_LP
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8567488553388741,sklearn_LP
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.3977547842624571,sklearn_LP
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0,sklearn_LP
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.546194909452971,sklearn_LP
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0,sklearn_LP
123,25000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8567488553388741,sklearn_LP
123,50000,train,timing,sklearn_LP,0.1,fit_seconds,256.6550587430001,sklearn_LP
123,50000,train,timing,sklearn_LP,0.1,n_iter,64022.0,sklearn_LP
123,50000,train,timing,sklearn_LP,0.5,fit_seconds,302.45957164499987,sklearn_LP
123,50000,train,timing,sklearn_LP,0.5,n_iter,81082.0,sklearn_LP
123,50000,train,timing,sklearn_LP,0.9,fit_seconds,255.5255266009999,sklearn_LP
123,50000,train,timing,sklearn_LP,0.9,n_iter,64187.0,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.006654,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.0029739999999999,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.0034402237194906,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.01966,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,0.00029,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,0.0002358488219309,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,0.0004769581714522,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.01946,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.0064879999999999,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0029059999999999,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.0033316460582253,sklearn_LP
123,50000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.01952,sklearn_LP
123,50000,train,metric,sklearn_LP,0.1,pinball,0.0578456998447163,sklearn_LP
123,50000,train,metric,sklearn_LP,0.1,rmse,0.5861761561570878,sklearn_LP
123,50000,test,metric,sklearn_LP,0.1,pinball,0.0615836067636577,sklearn_LP
123,50000,test,metric,sklearn_LP,0.1,rmse,0.588432428325045,sklearn_LP
123,50000,train,metric,sklearn_LP,0.5,pinball,0.1349773845171914,sklearn_LP
123,50000,train,metric,sklearn_LP,0.5,rmse,0.3685453283650449,sklearn_LP
123,50000,test,metric,sklearn_LP,0.5,pinball,0.1386161044872106,sklearn_LP
123,50000,test,metric,sklearn_LP,0.5,rmse,0.3743884134116715,sklearn_LP
123,50000,train,metric,sklearn_LP,0.9,pinball,0.0619675614472716,sklearn_LP
123,50000,train,metric,sklearn_LP,0.9,rmse,0.5862982292674231,sklearn_LP
123,50000,test,metric,sklearn_LP,0.9,pinball,0.0653461297796754,sklearn_LP
123,50000,test,metric,sklearn_LP,0.9,rmse,0.5914140487042494,sklearn_LP
123,50000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.78762,sklearn_LP
123,50000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8682821934367339,sklearn_LP
123,50000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.269297365433332,sklearn_LP
123,50000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.2952207872574776,sklearn_LP
