seed,N_SUB,split,kind,method,tau,metric,value
123,25000,test,pi,proxSGD,"PI(0.1,0.9)",mean_width,0.8772014756208404
123,25000,test,pi,proxSGD,"PI(0.1,0.9)",winkler,1.3028385447408424
123,25000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_y__pearson_r,0.2760235080168592
123,25000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,25000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_y__spearman_r,0.3933454992708911
123,25000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,25000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_y__mean_width,0.8772014756208404
123,25000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.4226468136316559
123,25000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,25000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.5599349194206475
123,25000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,25000,test,corr,proxSGD,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8772014756208404
123,50000,train,timing,proxSGD,0.1,fit_seconds,47.687643572000525
123,50000,train,timing,proxSGD,0.1,n_iter,5000.0
123,50000,train,timing,proxSGD,0.5,fit_seconds,47.23352540699943
123,50000,train,timing,proxSGD,0.5,n_iter,5000.0
123,50000,train,timing,proxSGD,0.9,fit_seconds,47.1958253469993
123,50000,train,timing,proxSGD,0.9,n_iter,5000.0
123,50000,train,kkt,proxSGD,0.1,kkt_intercept_abs,0.0070400000000000055
123,50000,train,kkt,proxSGD,0.1,kkt_grad_inf,0.0038399999999999745
123,50000,train,kkt,proxSGD,0.1,kkt_grad_l2,0.004880483429087715
123,50000,train,kkt,proxSGD,0.1,frac_near_zero_resid,0.0
123,50000,train,kkt,proxSGD,0.5,kkt_intercept_abs,0.00112
123,50000,train,kkt,proxSGD,0.5,kkt_grad_inf,0.001007512548042807
123,50000,train,kkt,proxSGD,0.5,kkt_grad_l2,0.0017043191051733153
123,50000,train,kkt,proxSGD,0.5,frac_near_zero_resid,0.0
123,50000,train,kkt,proxSGD,0.9,kkt_intercept_abs,0.005979999999999993
123,50000,train,kkt,proxSGD,0.9,kkt_grad_inf,0.002879999999999981
123,50000,train,kkt,proxSGD,0.9,kkt_grad_l2,0.0037730617772620276
